,0
Hypothalamic Obesity,Obesity (MeSH ID:68009765)
Type 2 Diabetes Mellitus (T2DM),"Diabetes Mellitus, Type 2 (MeSH ID:68003924)"
Children and Adolescent With Type 2 Diabetes,"Diabetes Mellitus, Type 2 (MeSH ID:68003924)"
Uncontrolled Type 1 Diabetic Patients,"Diabetes Mellitus, Type 1 (MeSH ID:68003922)"
Impaired Glucose Tolerance Associated With Drugs,Glucose Intolerance (MeSH ID:68018149)
Stress Hyperglycemia,Hyperglycemia (MeSH ID:68006943)
Glucocorticoid Induced Hyperglycemia,Hyperglycemia (MeSH ID:68006943)
Type II Diabetes in Subjects BMI 27 to 32,"Diabetes Mellitus, Type 2 (MeSH ID:68003924)"
ST Elevation Acute Myocardial Infarction,Myocardial Infarction (MeSH ID:68009203)
Ischemic Cardiomyopathy,Cardiomyopathies (MeSH ID:68009202)
Post Bariatric Hypoglycemia,Hypoglycemia (MeSH ID:68007003)
"""Early Parkinson's Disease",Parkinson Disease (MeSH ID:68010300)
Early Alzheimer’s Disease,Alzheimer Disease (MeSH ID:68000544)
"Heart Failure With Preserved Ejection Fraction (HFpEF) and Diabetes Mellitus, Type 2","Heart Failure, Diastolic (MeSH ID:68054144)"
Double Diabetes,Diabesity (MeSH ID:2108227)
Non-cirrhotic Non-alcoholic Steatohepatitis With Fibrosis,Non-alcoholic Fatty Liver Disease (MeSH ID:68065626)
"Diabetes Mellitus, Type 2 Treated With Insulin","Diabetes Mellitus, Type 2 (MeSH ID:68003924)"
Type 1 Diabetes (T1D),"Diabetes Mellitus, Type 1 (MeSH ID:68003922)"
Metabolic Dysfunction Associated Steatohepatitis,Fatty Liver (MeSH ID:68005234)
Type 2 Diabetic Nephropathy,Diabetic Nephropathies (MeSH ID:68003928)
"Diabetes Mellitus, Type 2 (T2DM)","Diabetes Mellitus, Type 2 (MeSH ID:68003924)"
Obesity and Obesity-related Medical Conditions,Obesity (MeSH ID:68009765)
Alzheimer Disease (AD),Alzheimer Disease (MeSH ID:68000544)
T2DM,"Diabetes Mellitus, Type 2 (MeSH ID:68003924)"
Metabolic Dysfunction-Associated Steatotic Liver Disease,Fatty Liver (MeSH ID:68005234)
Idiopathic Intracranial Hypertension (IIH),Pseudotumor Cerebri (MeSH ID:68011559)
Prostate Carcinoma,Prostatic Neoplasms (MeSH ID:68011471)
Recurrent Prostate Carcinoma,Prostatic Neoplasms (MeSH ID:68011471)
