,0
"Diabetes Mellitus, Non-Insulin-Dependent","Diabetes Mellitus, Type 2 (MeSH ID:68003924)"
"Diabetes Mellitus, Type 2","Diabetes Mellitus, Type 2 (MeSH ID:68003924)"
Diabetes Mellitus,Diabetes Mellitus (MeSH ID:68003920)
Type 2 Diabetes Mellitus,"Diabetes Mellitus, Type 2 (MeSH ID:68003924)"
Diabetes,Diabetes Mellitus (MeSH ID:68003920)
Type 2 Diabetes,"Diabetes Mellitus, Type 2 (MeSH ID:68003924)"
Obesity,Obesity (MeSH ID:68009765)
Diabetes Mellitus Type 2,"Diabetes Mellitus, Type 2 (MeSH ID:68003924)"
Type 1 Diabetes,"Diabetes Mellitus, Type 1 (MeSH ID:68003922)"
Diabetes Complications,Diabetes Complications (MeSH ID:68048909)
Fatty Liver,Fatty Liver (MeSH ID:68005234)
Impaired Glucose Tolerance,Glucose Intolerance (MeSH ID:68018149)
"Diabetes Mellitus, Type 1","Diabetes Mellitus, Type 1 (MeSH ID:68003922)"
Congenital Hyperinsulinism,Congenital Hyperinsulinism (MeSH ID:68044903)
Gestational Diabetes,"Diabetes, Gestational (MeSH ID:68016640)"
Nonalcoholic Fatty Liver Disease,Non-alcoholic Fatty Liver Disease (MeSH ID:68065626)
Hyperglycemia,Hyperglycemia (MeSH ID:68006943)
Acute Coronary Syndromes,Acute Coronary Syndrome (MeSH ID:68054058)
Myocardial Infarction,Myocardial Infarction (MeSH ID:68009203)
Pre-diabetes,Prediabetic State (MeSH ID:68011236)
"Heart Failure, Diastolic","Heart Failure, Diastolic (MeSH ID:68054144)"
Renal Impairment,Renal Insufficiency (MeSH ID:68051437)
Weight Gain,Weight Gain (MeSH ID:68015430)
Morbid Obesity,"Obesity, Morbid (MeSH ID:68009767)"
Hypoglycemia,Hypoglycemia (MeSH ID:68007003)
"Obesity, Morbid","Obesity, Morbid (MeSH ID:68009767)"
Diabetes Type 2,"Diabetes Mellitus, Type 2 (MeSH ID:68003924)"
Sleep Disordered Breathing,Sleep Apnea Syndromes (MeSH ID:68012891)
Type 1 Diabetes Mellitus,"Diabetes Mellitus, Type 1 (MeSH ID:68003922)"
Acute Coronary Syndrome,Acute Coronary Syndrome (MeSH ID:68054058)
Postprandial Hypoglycemia,Hypoglycemia (MeSH ID:68007003)
Parkinson's Disease,Parkinson Disease (MeSH ID:68010300)
Nonalcoholic Steatohepatitis,Non-alcoholic Fatty Liver Disease (MeSH ID:68065626)
Alzheimer's Disease,Alzheimer Disease (MeSH ID:68000544)
Mild Cognitive Impairment,Cognitive Dysfunction (MeSH ID:68060825)
Wolfram Syndrome,Wolfram Syndrome (MeSH ID:68014929)
Coronary Artery Disease,Coronary Artery Disease (MeSH ID:68003324)
Decreased Left Ventricular Function,"Ventricular Dysfunction, Left (MeSH ID:68018487)"
End-stage Renal Disease,"Kidney Failure, Chronic (MeSH ID:68007676)"
Cardiovascular Disease,Cardiovascular Diseases (MeSH ID:68002318)
Congestive Heart Failure,Heart Failure (MeSH ID:68006333)
Prader-Willi Syndrome,Prader-Willi Syndrome (MeSH ID:68011218)
Psoriasis,Psoriasis (MeSH ID:68011565)
Alzheimers Disease,Alzheimer Disease (MeSH ID:68000544)
Chronic Heart Failure,Heart Failure (MeSH ID:68006333)
Overweight,Overweight (MeSH ID:68050177)
Craniopharyngioma,Craniopharyngioma (MeSH ID:68003397)
Obstructive Sleep Apnoea,"Sleep Apnea, Obstructive (MeSH ID:68020181)"
Weight Loss,Weight Loss (MeSH ID:68015431)
Hunger,Hunger (MeSH ID:68006815)
Septic Shock,"Shock, Septic (MeSH ID:68012772)"
Inflammation,Inflammation (MeSH ID:68007249)
Chronic Kidney Disease,"Renal Insufficiency, Chronic (MeSH ID:68051436)"
"Diabetes Mellitus, Type II","Diabetes Mellitus, Type 2 (MeSH ID:68003924)"
Systolic Hypertension,Isolated Systolic Hypertension (MeSH ID:2103163)
Metabolic Syndrome,Metabolic Syndrome (MeSH ID:68024821)
Diastolic Dysfunction,"Ventricular Dysfunction, Left (MeSH ID:68018487)"
DIABETES Mellitus Type 2 Not Well Controlled,"Diabetes Mellitus, Type 2 (MeSH ID:68003924)"
Human Immunodeficiency Virus Infection,HIV Infections (MeSH ID:68015658)
Metabolic Syndrome X,Metabolic Syndrome (MeSH ID:68024821)
Schizophrenia,Schizophrenia (MeSH ID:68012559)
Acute Heart Failure,Heart Failure (MeSH ID:68006333)
Short Bowel Syndrome,Short Bowel Syndrome (MeSH ID:68012778)
Sleep Apnea,Sleep Apnea Syndromes (MeSH ID:68012891)
Diabetic Kidney Disease,Diabetic Nephropathies (MeSH ID:68003928)
Type I Diabetes,"Diabetes Mellitus, Type 1 (MeSH ID:68003922)"
Acute Myocardial Infarction,Inferior Wall Myocardial Infarction (MeSH ID:68056989)
Diabetes Mellitus Type II,"Diabetes Mellitus, Type 2 (MeSH ID:68003924)"
Diabesity,Diabesity (MeSH ID:2108227)
Brain Injuries,Brain Injuries (MeSH ID:68001930)
Cushing's Disease,Pituitary ACTH Hypersecretion (MeSH ID:68047748)
Acromegaly,Acromegaly (MeSH ID:68000172)
Polycystic Ovary Syndrome,Polycystic Ovary Syndrome (MeSH ID:68011085)
